Column1,moduleMetadata.Mutex,moduleMetadata.Inject into,PDB strings,moduleMetadata.Password,Port,C2
af62cb9a38098d8dffac82c8c179f6a9,drg3,iexplore.exe,,yiasdo230dz,4213,87.43.23.55
af62cb9a38098d8dffac82c8c179f6a9,drg3,iexplore.exe,,yiasdo230dz,4213,64.34.12.04
66156c7e0426e212623a398e668747bb,!lowqT,,,,80,
c224bcf14454afe75e747ebc7fc712f7,,,,,443,
c2b8e65520b81fd3e067b23a34e6c2e2,Tlowq1!,tskmgr.exe,,,3128,138.186.22.2
42cfa2b6c04f6186ee17e96ccecae965,,,,admin,3460,
96331723ce9d530750fb7df8e7262cea,,,,admin,443,
7f33b89ab49a5cf8cfbfc61227eb17bd,,,,,3460,
67fc6b375aa2860a34bb213a8ad5c317,aasdf,firefox.exe,,jabba,8989,
42cfa2b6c04f6186ee17e96ccecae965,,,,,3460,242.54.247.28
96331723ce9d530750fb7df8e7262cea,,,,,7539,242.54.247.28
7f33b89ab49a5cf8cfbfc61227eb17bd,!lowqT,,,,4444,
67fc6b375aa2860a34bb213a8ad5c317,,,,radministrator,443,
d537acb8f56a1ce206bc35cf8ff959c0,aasdf,chrome.exe,,hutt23,443,Varlsupplies.com
c2b8e65520b81fd3e067b23a34e6c2e2,,iexplore.exe,,1234,443,
42cfa2b6c04f6186ee17e96ccecae965,,,,admin,81,
96331723ce9d530750fb7df8e7262cea,!lowqT,,,version2019,80,
7f33b89ab49a5cf8cfbfc61227eb17bd,,,,admin,80,1.11.128.235
67fc6b375aa2860a34bb213a8ad5c317,,,,radministrator,80,
d537acb8f56a1ce206bc35cf8ff959c0,Tlowq1,asdfad.exe,,12234235,80,
42cfa2b6c04f6186ee17e96ccecae965,,aasdf.exe,,43421234,80,
96331723ce9d530750fb7df8e7262cea,,,,zlsdow039zc,4213,87.43.23.55
7f33b89ab49a5cf8cfbfc61227eb17bd,,,,,80,
67fc6b375aa2860a34bb213a8ad5c317,,explorer.exe,,joker,443,
d537acb8f56a1ce206bc35cf8ff959c0,Tlowq1,aim.exe,,admin,1515,
42cfa2b6c04f6186ee17e96ccecae965,,,,solonolow,1515,3.34.240.219
96331723ce9d530750fb7df8e7262cea,!lowqT,,,,1515,
7f33b89ab49a5cf8cfbfc61227eb17bd,,,,admin,1515,
67fc6b375aa2860a34bb213a8ad5c317,aasdf,chrome.exe,,,1515,3.34.240.219
d537acb8f56a1ce206bc35cf8ff959c0,,,,bela,4213,
c2b8e65520b81fd3e067b23a34e6c2e2,,,,admin,1515,89.231.13.33
663d82eeff1f70c8391f3335ad804bfe,,,,admin,1515,
7f33b89ab49a5cf8cfbfc61227eb17bd,aasdf,firefox.exe,,,1515,85.25.3.13
67fc6b375aa2860a34bb213a8ad5c317,,,,admin,1515,
d537acb8f56a1ce206bc35cf8ff959c0,,,,12345678901,53,
7f33b89ab49a5cf8cfbfc61227eb17bd,Tlowq1,,,111111,3460,
67fc6b375aa2860a34bb213a8ad5c317,,,,admin,81,
d537acb8f56a1ce206bc35cf8ff959c0,aasdf,tails.exe,,boonta,3460,
663d82eeff1f70c8391f3335ad804bfe,aasdf,tails.exe,,admin,3460,
