Column1,moduleMetadata.Mutex,moduleMetadata.Inject into,PDB strings,moduleMetadata.Password,Port,C2
13457cc433b230f1f1cfaa74bfecc78c,Mgkk1,,D:\ichor\maul\Desktop\screensaver.pdb,maul,80,66.66.66.23
4d935b23434ac763d0903aeda6c78aac,Mgkk1,lsaas.exe,D:\ichor\beldons\GoogleUpdates\GoogleUpdates.pdb,talzin,80,magikgathering.com
e017e3627c7edd987ff31d680ec26ff3,Mgggk,lsaas.exe,D:\ichor\beldons\GoogleUpdates\GoogleUpdates.pdb,talzin,80,magikalways.com
8f79ce192578783c1f2922305cd16bb9,Mgkmgk,lsaas.exe,D:\ichor\beldons\Desktop\mediaplayer.pdb,maul,80,66.66.66.23
6f80d45ed6f98f5eb5ca9350301637bd,mgkmgk,lsaas.exe,D\ichor\rancor\Desktop\cccc\Debug.pdb,rancor,80,66.66.66.23
00c907f4ca7ee69965a66318690f34b8,Mgkmgk,,,zabrak,80,comejoinus.com
48c6d3db9a45f7090ac30895dc3efc1c,Mgkk1,,,zeffo,80,comejoinus.com
89b87c58c87fe13c2ed78a05b0517207,Mgkk1,,,zeffo,80,dathomirtravel.com
00079acb15395da97775468cf3efce88,Mgggk,,,zeffo,80,dathomirvacation.com
0cec83f653dbc69f18e1312b0335c1e5,Mgkk2,,D\ichor\rancor\Desktop\cccc\Debug.pdb,rancor,80,66.66.66.23
