Column1,moduleMetadata.Mutex,moduleMetadata.Inject into,PDB strings,moduleMetadata.Password,Port,C2
ceee75e1f6549bb7007332183d036ddd,asdflkh,,,admin,7337,212.24.109.100
8e17c221d6f06fba283cd45ed4f250f4,werwqe,iexplore.exe,,admin,1337,119.129.250.18
7ac228e2a41f16854d83a3b52933c3ab,opoiuw,,,admin,80,9.82.13.221
8dc0f10f42077eede7aaef5e35b338cc,wqert,,,admin,80,167.134.238.162
7896955fd4dfb926074835e052802ccf,zxcvz,lsass.exe,,admin,80,190.158.138.103
6d977bee539a7fb4276d22c9f2f3e041,lkjda,,,admin,1337,192.168.16.28
d537acb8f56a1ce206bc35cf8ff959c0,poiuyw,,,admin,1337,138.105.95.175
703195a4e8ddf4172f1b032d1b74d156,adsf,chrome.exe,,12345,7337,89.205.110.235
f6cd3ea141691681021b78ff9f31d5c7,zxcvz,,,12345,3333,30.39.61.255
c80a036a94b2ecb0ef8413376fdeaa1f,adsff,,,12345,1337,10.0.2.15
cd6ae93134e2beb48a810f4007c1f4f0,zxvvv,,,12345,7733,nocalamari.com
a8e9ce659a90207137bd6a712450c6ce,klkjhw,,,12345,3377,192.151.23.21
7c06b6e54183f7a4d1a819ce8468d881,poiuq,,,hutt,1337,varlsupplies.com
4447717694c2373aa655cc5d6fffde81,asdfb,iexplore.exe,,admin,89,
7ea56eeb6bf83cbced76bd9a91afbae5,qpweo,iexplore.exe,,admin,89,85.25.3.13
0b66b7e9ccd4c9fcaad8fdb319c71a98,poiu,,,12345,89,52.42.220.148
53776c0f37019d82dded07ea75d5bde5,qwert ,,,1234,80,43.55.123.73
acf82f90945de3269d66baa44a06bfd3,poiuyyt,,,1234,7337,189.143.68.237
7c06b6e54183f7a4d1a819ce8468d881,asdfzcv,,,1234,3377,113.92.16.171
c80858b047ca33293ca86a68cf1d8ef2,poiuqwert,iexplore.exe,,administrator,3333,175.162.166.51
f962ba0faf13d513f30ab18aa6fccf94,pouiqerttt,iexplore.exe,,administrator,3333,206.68.149.43
840336231952dacf8fb7012a83b4e833,adsflkj,,,admin,3377,61.221.40.61
53776c0f37019d82dded07ea75d5bde5,asdf;lk,,,admin,1337,
f22f0619af8d6642339a56b7a028cc62,asdfghk,explorer.exe,,hutt,1337,hutt.com
d49507e40f0d8ee7b9591abef11a24ed,zxcvnh,lsass.exe,,12345,1337,
